index,disease_name,supplement name,supplement image,buy link
0,Apple___Apple_scab,Katyayani Prozol Propiconazole 25% EC Systematic Fungicide,\static\supplements\applescab.jpg,https://www.shopclues.com/katyayani-propiconazole-25-ec-systematic-fungicide-for-sheath-blight-leaf-spot-yellow-rust-apple-scab-250ml-150654493.html,https://www.shopclues.com/katyayani-propiconazole-25-ec-systematic-fungicide-for-sheath-blight-leaf-spot-yellow-rust-apple-scab-250ml-150654493.html
1,Apple___Black_rot,Magic FungiX For Fungal disease,"https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTZZH2SUe7Hufpd49iFoF_04c96J-fZeywsYQXDb0gFerGOYyL7xPBxLN05LIx6s36u6C_qMvtescsDbrTEzniJp0yhfEsvJoTCMD7FDnI&usqp=CAE",https://agribegri.com/products/buy-fungicide-online-india--organic-fungicide--yield-enhancer.php
2,Apple___Cedar_apple_rust,Katyayani All in 1 Organic Fungicide,https://www.katyayaniorganics.com/product/all-in-1-organic-fungicide/,https://www.katyayaniorganics.com/product/all-in-1-organic-fungicide/
3,Apple___healthy,Tapti Booster Organic Fertilizer,https://rukminim1.flixcart.com/image/416/416/kc6jyq80/soil-manure/6/y/v/500-tapti-booster-500-ml-green-yantra-original-imaftd6rrgfhvshc.jpeg?q=70,https://agribegri.com/products/tapti-booster-500-ml--organic-fertilizer-online-in-india.php
4,Background_without_leaves,None,https://via.placeholder.com/300,https://via.placeholder.com/300
5,Blueberry___healthy,GreenStix Fertilizer,https://www.goinggreens.in/products/blueberry-fertilizer-200-gms,https://www.goinggreens.in/products/blueberry-fertilizer-200-gms
6,Cherry___Powdery_mildew,ROM Mildew Clean,"https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSeHlqcksdF25o8mv-fYxNOrfJkp4Ov2hgVf01w2aCed1WbyL604ubLtPAlB7rfNoHRtxbTljQvA7P3VRh8LM0XndFHWDqvC4kC4w-DLQiknnS3vRzAxTpP&usqp=CAE",https://agribegri.com/products/rom-mildew-clean-1-kg--price-of-organic-fungicide-online-.php
7,Cherry___healthy,Plantic Organic BloomDrop Liquid Plant Food,"https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSpHb-xEa2rTSIEf5QtLMbax4zvRsTzD4kAwQ9Rcwr3AbDDQxUhmMmPJBVGLCAvczXrXAqwWKN-rReHwSR-XSGlsJRLvZOKRXHV-54uLhU_6EIuBq5BHXaAwg&usqp=CAE",https://plantic.in/products/organic-bloomdrop
8,Corn___Cercospora_leaf_spot Gray_leaf_spot,ANTRACOL FUNGICIDE,"https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTm0wIanaB9OdUkuH9IJ-bHG_qyungwi2lWnmkFmze9VFU1yeSuRO3wImAhPfEJwuBZXPSEf5QwZhieERwrlE5H7lg_8bvf&usqp=CAE",https://www.bighaat.com/products/antracol?variant=14521365063
9,Corn___Common_rust,3 STAR M45 Mancozeb 75% WP Contact Fungicide,"https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcT86avIdiTsKNdgo0Uss9r2tkn9pcx6VCGHeaubXDiR0u_fqqyXomgc1BBviREao7BM_eQiR6tbLCzUxG5VzS4du5DgwBVbtwSLuTEexpI&usqp=CAE",https://agribegri.com/products/buy-online-3-star-m45-mancozeb-75-wp.php
